Time (s),z3_pro_1,z3_pro_2,z3_pro_3,z4_pro_1,z4_pro_2,z4_pro_3,z3_none_1,z3_none_2,z3_none_3,z4_none_1,z4_none_2,z4_none_3
54896s,1.1868,1.1814,1.1744,1.1887,1.1996,1.1792,1.2212,1.1549,1.1994,1.2037,1.186,1.1725
55196s,1.1917,1.1875,1.1773,1.1925,1.2014,1.18,1.225,1.1596,1.2054,1.2107,1.1961,1.1823
55496s,1.1963,1.1894,1.1799,1.1956,1.2055,1.1852,1.2265,1.1637,1.2072,1.2054,1.1901,1.177
55796s,1.1992,1.1921,1.1844,1.1997,1.2109,1.192,1.2337,1.1697,1.2132,1.2161,1.2037,1.1901
56096s,1.1997,1.1925,1.1857,1.2011,1.2112,1.193,1.2384,1.1728,1.2194,1.2203,1.2071,1.1922
56396s,1.2033,1.1991,1.193,1.206,1.2153,1.1956,1.2378,1.1758,1.2212,1.2241,1.2083,1.1992
56696s,1.2094,1.2041,1.1942,1.208,1.2183,1.2001,1.2404,1.1803,1.221,1.2209,1.2087,1.195
56996s,1.2094,1.2072,1.1997,1.2106,1.2236,1.2028,1.245,1.1844,1.2263,1.226,1.2126,1.199
57296s,1.213,1.2072,1.2006,1.2136,1.2242,1.204,1.2482,1.1875,1.231,1.2304,1.219,1.2052
57596s,1.2157,1.2116,1.2041,1.2181,1.229,1.2095,1.249,1.1896,1.2333,1.2331,1.2211,1.2077
57896s,1.2228,1.2149,1.2083,1.218,1.2305,1.2094,1.2525,1.1939,1.2333,1.2328,1.2197,1.2072
58196s,1.2212,1.2178,1.2108,1.2218,1.2333,1.2123,1.2558,1.1959,1.2376,1.233,1.2186,1.205
58496s,1.2269,1.22,1.2145,1.2293,1.2374,1.2196,1.258,1.1993,1.2398,1.2368,1.2233,1.2116
58796s,1.2258,1.2221,1.2159,1.2275,1.2387,1.2207,1.2633,1.2039,1.2454,1.2447,1.2319,1.2191
59096s,1.2297,1.2252,1.22,1.2314,1.2418,1.2196,1.2625,1.2081,1.2508,1.248,1.2335,1.2195
59396s,1.2321,1.2281,1.2225,1.2328,1.2428,1.2246,1.2639,1.2068,1.2463,1.2417,1.2303,1.2149
59696s,1.237,1.2327,1.227,1.236,1.2447,1.2269,1.2679,1.211,1.2524,1.2469,1.2342,1.2228
59996s,1.2391,1.2335,1.2275,1.2381,1.2482,1.2321,1.2697,1.2165,1.256,1.2541,1.237,1.2232
60296s,1.2376,1.2357,1.2293,1.2391,1.248,1.2304,1.2717,1.2188,1.2569,1.2497,1.2385,1.2223
60596s,1.2404,1.236,1.2312,1.2403,1.2511,1.2321,1.2727,1.222,1.2595,1.2559,1.2426,1.2265
60896s,1.2449,1.2388,1.2347,1.2446,1.2528,1.2367,1.2714,1.2229,1.2584,1.2523,1.2395,1.2267
61196s,1.2426,1.2395,1.2355,1.2435,1.2528,1.2388,1.2725,1.2267,1.2628,1.2609,1.2502,1.2372
61496s,1.243,1.2396,1.2386,1.2473,1.255,1.2406,1.2699,1.2289,1.2624,1.2534,1.2454,1.2321
61796s,1.2461,1.2417,1.2413,1.2452,1.2556,1.2431,1.2721,1.2338,1.2663,1.2617,1.2548,1.2398
62096s,1.2459,1.2428,1.2401,1.2474,1.2556,1.243,1.2712,1.2321,1.2636,1.2523,1.2429,1.2311
62396s,1.2439,1.2413,1.2412,1.2461,1.2562,1.2428,1.2724,1.2365,1.2667,1.2613,1.2518,1.2405
62696s,1.2446,1.2424,1.2415,1.2474,1.2552,1.242,1.2717,1.2404,1.2669,1.2579,1.2467,1.2362
62996s,1.2421,1.2425,1.2417,1.2463,1.2552,1.2431,1.2724,1.2393,1.2656,1.2548,1.2437,1.2331
